药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
慈竹沥,中药,为禾本科植物慈竹的茎用火烤灼而流出的液汁。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。取鲜慈竹竿截成30-50cm长，两端去节，劈开，架起，中部用火烤之，两端即有液汁流出，以器盛之。,慈竹油。,甘；寒。,清热化痰；定惊除烦。主痰热咳喘；心烦；小儿惊风；中风痰迷
慈竹气笋,中药,为禾本科植物慈竹的受病害之嫩苗。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。5-6月采集遭受病害的未出土的嫩笋，晒干。,阴慈竹笋子;阴笋子;气笋子,寒；苦；甘。,清热止渴；解毒；止血。主消渴；小便热痛；脱肛；小儿头身热疮；刀伤出血
慈竹茹,中药,为禾本科植物慈竹的茎秆除去外皮后刮下的中间层。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。砍取茎竿，刮去外层皮，然后将中间层刮成丝状，晒干。,参考原文,甘；微寒。,除烦止呕；清热凉血。主胃热呕逆；上焦烦热；吐血；衄血；崩漏；胎动不安
刺竹茹,中药,为禾本科植物车简竹的茎秆除去外皮后刮下的中间层。Bambusa sinospinosa Mc Clure。全年均可采，砍取茎竿，刮去外层皮，然后将中间层刮成丝状，晒干。,参考原文,微苦；凉。,清热和胃降逆。主胃热呕吐；呃逆
慈竹笋,中药,为禾本科植物慈竹的嫩苗。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。6-9月或12月至翌年3月笋期采集，鲜用或晒干。,参考原文,,主脱肛；疝气；疮疡
刺竹笋,中药,为禾本科植物箣竹的苗。Bambusa sinospinosa Mc Clure。5-6月采收，鲜用或晒干。,箣竹;竻竹笋;竹笋,苦；甘；凉。,清肠止痢；消积。主痢疾；消化不良
慈竹箨,中药,禾本科植物慈竹的箨片。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。全年均可采，晒干。,慈竹笋壳,,止血；解毒。主吐血；恶疮；犬咬伤
慈竹叶,中药,为禾本科植物慈竹叶或卷而未放的嫩叶(竹叶心)。Neosinocalamus affinis(Rendli)Keng f.[Sinocalmus affinis(Rendle)McClure]。全年均可采，晒干或鲜用。,竹叶心,甘；苦；微寒。,清心利尿；除烦止渴。主热病烦渴；小便短赤；口舌生疮
刺竹叶,中药,为禾本科植物车简竹的叶。Bambusa sinospinosa Mc Clure。全年均可采，随采随用。,参考原文,甘；凉。,清热利尿；止血。主小儿风热感冒；高热；尿路感染；鼻衄
葱白,中药,为百合科植物葱的鳞茎。Allium fislulosum L。夏、秋季采挖，除去须根、叶及外膜，鲜用。,葱茎白;葱白头,味辛；性温。归肺；胃经,发表；通阳；解毒；杀虫。主感冒风寒；阴寒腹痛；二便不通；痢疾；疮痈肿痛；虫积腹痛
葱花,中药,为百合科植物葱的花。Allium fistulosum L。7-9朋花开时采收，阴干。,参考原文,味辛；性温。归脾；胃经,散寒通阳。主脘腹冷痛；胀满
丛毛榕根,中药,为桑科植物小果榕的根。Ficus gasparriniana Miq.var.viri-descens(Levl.et Vent.)Corner[F.comata Hand.-Mazz.]。全年均可采，节段或切片，晒干。,母猪精;铁牛入石;小叶钻石风,甘；微辛；性温。,祛风；健脾；利湿；。主风湿痹痛；急惊风；劳倦乏力；消化不良；脾虚带下
葱实,中药,为百合科植物葱的种子。Allium fistulosum L。夏、秋季采收果实，晒干，搓取种子，簸去杂质。,葱子,味辛；性温。,温肾；明目；解毒。主肾虚阳毒；遗精；目眩；视物昏暗；疮痈。
葱须,中药,为百合科植物葱的须根。Allium fistulosum L。全年艾可采收，晒干【原形态】葱，多年生草本，高可达50cm。,葱根,昧辛；性平。归肺经,祛风散寒；解毒；散瘀。主风寒头痛；喉疮；痔疮；冻伤
葱汁,中药,为百合科植物葱的茎或全株捣取之汁。Allium fistulosum L。全年采茎或全株，捣汁，鲜用。,葱苒;葱涕; 空亭液; 葱涎; 葱油,味辛；性温。归肝经,散瘀止血；通窍；驱虫；解毒。主衄血；尿血；头痛；耳聋；虫积；外伤出血；跌打损伤；疮痈肿痛
醋,中药,为用高梁、米、大麦、小米、玉米或低度白酒为原料酿制而成的含有乙酸的液体。,苦酒;醯;淳酢;米醋,酸；甘；温。归肝；胃；经,散瘀消积；止血；安蛔；解毒。主产后血晕；症瘕积聚；吐血；衄血；便血；虫积腹痛；鱼肉菜毒；痈肿疮毒
粗榧根,中药,为三尖杉科植物粗榧的根或树皮。Cephalotaxus sinensis (Rehd.et Wils.)Li[C.drupacea Sieb.et Zucc.var.sinensis Rehd.et Wils.]。全年可采，洗净，刮去粗皮，切片，晒干。,参考原文,淡；涩；性平。,祛风除湿。主风湿痹痛
粗榧枝叶,中药,为三尖杉科植物粗榧的枝叶。Cephalotaxus sinensis (Rehd.et Wils.)Li[C.drupacea Sieb.et Zucc.var.sinensis Rehd.et Wils.]。全年或夏、秋季采收，晒干。,参考原文,苦；涩；性寒。,抗癌。主白血病；恶性淋巴瘤
粗梗黄堇,中药,为罂粟科植物粗梗黄堇的根。Corydalis pachypoda (Franch.)Hand.Mazz.[C.tibetica .f.et Thoms.var.pachypoda Franch.]。春、夏季采收，洗净，晒干或鲜用。,粗荚黄堇;马尾黄连;土黄连。,苦；寒。,清热解毒。主痈肿疮疖
粗灰钉,中药,为柄灰包科真菌毛柄钉灰包的子实体。Battarraea stevenii (Libosch.) Fr。秋季采收，去杂质，晒干。,参考原文,辛；性平。归肺；肝经,清肺利咽；解毒消肿；止血。主咳嗽；咽喉肿痛；吐血；外伤出血
催产草,中药,为石杉科植物马尾杉的全草。Phlegmariurus phlegmaria（L.）Holub.［Lycopodium phlegmaria L.］。全年均可采收，晒干或鲜用。,牛尾草;六角草;细穗石松;树灵芝,淡；凉；有小毒。,祛风除湿；清热解毒。主风湿痹痛；跌打损伤；发热咽痛；水肿及荨麻疹
脆骨风,中药,为铁青树科植物青皮木的全株。Schoepfia jasminodora Sieb.et Zucc.［Schoepfiopsis jasminodora (Sieb.et Zucc.) Miers］。根及树皮全年均可采收，切片，晒干。,鸡白柴;茶条树;万把刀;碎骨风;吊钟花;羊脆骨,甘；微涩；性平。归肝；肾；经,祛风除湿；散瘀止痛。主风湿痹痛；腰痛；产后腹痛；跌打损伤
催乳藤,中药,为萝藦科植物催乳藤的全株。Hetrostemma oblongifolium Cost。秋季采收，晒干。,奶汁藤,微苦、甘；平。归肝经,催乳。主产后气血郁滞；乳汁不下
脆蛇,中药,为蛇蜥科动物脆蛇蜥的全体。Ophisaurus harti Boulenger。春、秋季捕捉，捕后放入瓦缸中用酒碎死；或放在锅内用微火烘死，以头为中心，盘成圆盘形，用竹签固定，烘干。,金蛇;地鲜;蜴蛇;银蛇;金星地鳝;金星鳝;片蛇;蛇蜥;无脚蜥;碎蛇,味辛；咸；性平；小毒。归肝；脾；肾经,活血祛风；解毒消肿。主跌打损伤；骨折；大麻风；风湿痛；久痢；疳积；痈疮肿毒
翠云草,中药;苗药,为卷柏科植物翠云草的全草。Selaginella uncinata（Desv.）Spring［Lycopodium uncinatum Desv.］。全年均可采收，洗净，鲜用或晒干。,金鸡独立草;翠翎草;矮脚凤毛;孔雀花;翠羽草;神锦花;鹤翎草;凤尾草;开屏凤毛;龙须;剑柏;岩萍;地柏叶;百脚草;假岩柏;藤扁柏;白鸡毛;水松;拦路枝;蓝地柏;止血草;白鸡爪;龙鳞草;金扁柏;龙柏草;细风藤;金猫草;生扯拢;虱子草;蜂药;家昌金（苗药名）,淡；微苦；凉。,清热利湿；解毒；止血。主黄疸；痢疾；泄泻；水肿；淋病；筋骨痹痛；吐血；咳血；便血；外伤出血；痔漏；烫火伤；蛇咬伤
粗茎罗锅底,中药,为葫芦科植物异叶赤瓟的块根。Thladiantha hookeri C.B Clarke。秋、冬季采挖，除去芦头及须根，洗净切块，晒干或微火烘干。,锣锅底;蛇莲;曲莲。,味苦；涩；性微寒；小毒。,健胃行气，解毒。主消化不良；脘腹胀痛；咽喉肿痛；咳嗽；泄痢
醋林子,中药,为蔷薇科植物光叶石楠的果实。Photinia glabra(Thunb.)Maxim.[Crataegus glabr Thunb.]。9-10月果实成熟时采收，晒干。,红檬子,味酸；性温。,杀虫；止血；涩肠；生津；解酒。主蛔虫腹痛；痔漏下血；久痢
粗毛鳞盖蕨,中药,为碗蕨科植物粗毛鳞盖蕨的全草。Microlepia strigosa (Thunb.) Presl[Trichomanes strigosa Thunb.]。夏、秋季采取全草，去杂质，洗净，鲜用或晒干。,参考原文,微苦；寒。归肺、肝二经,清热利湿。主流行性感冒；肝炎
粗毛蹄盖蕨,中药,为蹄盖蕨科植物软刺蹄盖蕨的全草或叶。Athyrium strigillosum Moore。全年均可采收，洗净，鲜用或晒干。,参考原文,微苦；凉。,清热解毒；收敛止血。主痢疾；痈肿；外伤出血
寸金草,中药,为唇形科植物寸金草的全草。Clinopodium megalanthum (Diels) C.Y.Wuet Hsuan ex H.W.Li[Calamintha chinensis Benth.var. megalantha Diels]。秋季采收，洗净，切段，晒干。,参考原文,味辛；微苦；性微寒。,清热解毒；活血消肿。主牙痛；风湿痛；疮肿；小和疳积；跌打肿痛
粗皮松萝,中药,为松萝科植物粗皮松萝的地衣体。Usnea montis-fuji Mot。夏、秋季从林中树干上铲下，除去杂质，扎成小把，晒干。,天蓬草;云雾草;树发七,甘；苦；性平。,止血生肌；调经；清肝明目。主外伤出血；便血；月经不调；崩漏；高血压；角膜云翳；痈肿
粗皮蛙,中药,为蛙科动物粗皮蛙的全体。Ranarugosa (schlegel)。夏季捕捉，捕得后，洗净，鲜用或烘干。,癞皮蛙,苦、咸；寒。归肝、脾、大肠三经,清热解毒。主瘰疬；痈疽；脱肛
粗叶耳草,中药,为茜草科植物粗叶耳草的全草。Hedyotis hispida Retz.[ Oldenlandia hispida Poir.]。秋季采全草，晒干或鲜用。,莺哥利;光天化戟;细茜草;大号杉刺癀;小号大角荚;茜草节节花;锅老根;杀虫草,苦；凉。归肺；脾经,清热解毒；消肿止痛。主小儿麻痹症，风湿痹痛，感冒发热；咽喉痛；胃肠炎；蛇虫咬伤；疔疮疖肿
粗叶卷柏,中药,为卷柏科植物粗叶卷柏的全草。Selaginella trachyphylla A.Br。全年均可采收，晒干。,肺筋草;石上柏;凤尾草;鸭头草;银肺筋草,淡；凉。归肝、肺、心三经,清热止咳；凉血止血。主肺热咳嗽；肺痨；便血；痢疾；烫火伤；刀伤出血
粗叶木叶,中药,为茜草科植物粗叶木的叶。夏、秋季采收，洗净，鲜用或晒干。,参考原文,苦；寒。,清热除湿。主湿热黄疽
粗叶悬钩子,中药,为蔷薇科植物粗叶悬钩子的根、叶。Runus alceaefolius Poir。全年可采收，洗净，晒干。,大叶蛇泡竻;大破布刺;老虎泡;虎掌竻;九月泡;八月泡;牛尾泡;大竻坛。,甘淡；平。归胃；肝经,清热利湿，止血，散瘀。主肝炎，痢疾，肠炎，乳腺炎，口腔炎，行军性血红蛋白尿，外伤出血，肝脾肿大，跌打损伤，风湿骨痛
粗棕竹根,中药,为棕榈科植物粗棕竹的根。Rhapis robusta Burret。全年均可采挖，挖出须根，洗净，晒干。,参考原文,味甘；微辛；性平。,疗伤接骨。主跌打骨折
大白顶草,中药,为菊科植物田野千里光的全草。Senecio oryzetorum Diels。夏、秋季采收，洗净，鲜用。,参考原文,味甘；性平；有毒。,清热解毒。主小儿白口疮；疔疮
大白杜鹃,中药,为杜鹃花科植物大白花杜鹃的根、叶。Rhndodendron decorum Franch.R.franchetianum Levl.;R.spooneri Hemsl. Et Wils.； R. Giraudiasii levl。夏、秋季采挖根，洗净鲜用或切片晒干。,参考原文,味辛；性平。,清利湿热；活血止痛。主白浊；带下；风湿疼痛；跌打损伤
大百解薯,中药,为马兜铃科植物广西马兜铃的块根。Aristolochia kwangsiensis Chun et How［A.shukangiiChunetHow］。夏、秋季采挖，洗净，鲜用或切片晒干。,金银袋;大总管;萝卜防己;大青木香。,苦；寒；有小毒。归心；胃；大肠经,理气止痛；清热解毒；止血。主痉挛性胃痛；腹痛；急性胃肠炎；胃及十二指肠溃疡；痢疾；跌打损伤；疮痈肿毒；外伤出血；蛇咬伤；骨结核
大白药,中药,为萝藦科植物大白药的全株。Marsdenia griffithii Hook. F。全年可采，洗净，切碎晒干或鲜用。,小白前;蛆藤;大对节生;大掰角牛;小白药,味辛、苦、性平、有毒。归心；肾经,活血通络；止血接骨；解毒消肿。主跌打损伤；骨折；外伤出血；痈肿疔毒
大半边旗,中药,为凤尾蕨科植物疏羽半边旗的全草。Pteris dissitifolia Bak。全年均可采收，鲜用或晒干。,岩凤尾草,微苦；凉。,凉血止痢；敛肺止咳；解毒。主痢疾；久咳；疮疖；外伤出血；蛇咬伤
大板山蚤缀,中药,为石竹科植物大板山蚤缀的全草。Arenaria tapanshanensis Tsui。6-7月采集全草，晾干。,参考原文,淡；性寒。,清热；利湿；解毒。主风湿热痹；腹水；小便不利；疮疖
大苞甲跖草,中药,为鸭跖草科植物大苞鸭跖草的全草。夏、秋季采收，洗净，鲜用或晒干。,七节风;竹叶菜;,味甘，性寒。,利水消肿；清热解毒；凉血止血。主水肿；脚气；小便不利；热淋尿血；鼻衄；血崩；痢疾；咽喉肿痛；丹毒；痈肿疮毒；蛇虫咬伤
大苞寄生,中药,为桑寄生科植物大苞寄生、黔桂大苞寄生的带叶茎枝。1.Tolypanthus maclurei(Merr.)Danser［Loranthus maclurei Merr.］2.Tolypanthus esquirolii(Levl.)Lauener［Loranthus esquirolii Levl.；L.maclurei auct.non Merr.］。夏、秋季间采收，扎成束，晾干。,榔榆寄生;柑寄生;野梨树寄生;油茶寄生;猪糠木寄生;柿树寄生;桐油寄生,苦；甘；微温。,补肝肾；强筋骨；祛风除湿。主头目眩晕；腰膝酸痛；风湿麻木
大苞芹,中药,为伞形科植物马蹄芹的带根全草。Dickinsia hydrocotyloides Franch。夏、秋间采收，洗净，晒干或鲜用。,大天胡荽;双叉草;山荷叶,味辛；苦；性凉。,祛风清热；燥湿止痒。主感冒；头痛；麻疹；斑疹；显疹；皮肤瘙痒
大扁竹兰,中药,为鸢尾科植物扇形鸢尾的根茎。Iris wattii Baker。全年均可采，除去茎叶，洗净，切段晒干。,参考原文,苦；寒。,清热解毒消肿。主咽喉肿痛；肺热咳喘；食物中毒
大避债蛾,中药;苗药,为蓑蛾科（避债蛾科）动物大避债蛾活体幼虫伤断处流出的黄色体液。Clania preyeri (Leech)。将有幼虫的窝剪开，取出幼虫，用手的指轻取虫体，剪去1-2只脚，即有淡黄色的液体流出，滴入消毒杯内。,皮虫;大蓑蛾;昂吊虫;袋蛾;袋子虫;吊袋蛾;ginbkoutbol菌口包（贵州松桃）;gerbnenddiongx格能董（贵州黔南）;gangbrakndraox岗沙略（贵州毕节）口袋虫;岗董（苗药名）,咸；苦；寒。归心；肺；肝经,清热解毒；消肿止痛；生肌敛疮。主痈肿疮毒
大驳骨,中药,为爵床科植物鸭嘴花的全株。Adhatoda vasica Nees。全年可采，晒干或鲜用。,大还魂;龙头草;大驳骨消;大驳骨丹;大骨风;接骨木;大骨碎;大骨节草;大接骨,味辛；微苦；性平。归肝；脾经,活血止痛；接骨续伤；止血。主筋伤骨折；扭伤；瘀血肿痛；风湿痹痛；腰痛；月经过多；崩漏
大驳骨丹,中药,为爵床科植物黑叶爵床的茎叶或根。Adhatoda uentricosa （Wall.） Nees [Gendarussa uentricosa （Wall.） Nees]。全年可采，洗净鲜用或晒干。,鸭仔花;逼迫树;大还魂;大驳节;大接骨草;救命王;大驳骨;鸭公青;十月青;大叶驳骨草;黑叶接骨草,味辛；苦；性平。,活血止痛；化瘀接骨；祛风除湿；消肿解毒。主跌打伤肿；骨折；劳伤腰痛；风湿痹痛；胃气痛；肺痈；乳痈；无名肿毒；外伤红肿
大脖子药,中药,为苦苣苔科植物歪冠苦苣苔的带根全草。Rhynchoglossum obliquum Bl。夏、秋季采收，洗净，鲜用或晒干。,串珍珠；半边脸,味咸；性平。,软坚散结。主甲状腺肿大
大草乌,中药,为毛茛科植物黄草乌和膝瓣乌头的块根。1.Aconitum vilmorinianum Kom.[A.mairei Levl.]2.Aconitum geniculatum Fletcher et Lauener。秋冬季采挖，去残茎、须根，置沸水煮4H，或用石灰水浸泡7-10d，清水漂3d，每日换水2次，晒干备用。,昆明堵喇;草乌,味辛；苦；性热；大毒。,祛风散寒；活血止痛；解毒消肿。主风寒湿痹；手足厥冷；跌打损伤；疮毒
大巢菜,中药,为豆科植物大巢菜的全草或种子。Vicia sativa L。4-5月采割，晒干，亦可鲜用。,薇;垂水;薇菜;巢菜;野豌豆;野麻豌;箭筈豌豆;救荒野豌豆;春巢菜;普通苕子;野菜豆;黄藤子;苕子;马豆草;肥田草麦豆藤。,味甘；辛；性寒。归心；肝；脾经,益肾；利水；止血；止咳。主肾虚腰痛；遗精；黄疸；水肿；疟疾；鼻衄；心悸；咳嗽痰多；有经不调；疮疡肿毒
